obsid,label,pred,error,teff,logg,feh,snru,snrg,snrr,rv,z
185312059.0,1.2,2.18,0.9800000000000002,6055.58,4.413,-0.105,5.34,31.89,56.22,-5.92,-1.9699999999999998e-05
527901035.0,1.2,2.17,0.97,6217.52,4.1339999999999995,-0.077,2.37,13.3,28.65,-8.02,-2.68e-05
438506207.0,1.2,2.15,0.95,5429.52,2.892,-0.526,2.51,11.57,19.01,-0.4,-1.33e-06
525413128.0,3.4,2.46,-0.94,4276.93,1.469,-0.606,0.46,14.98,82.51,0.37,1.23e-06
327311136.0,1.2,2.13,0.9299999999999999,5854.9,4.104,-0.654,5.71,22.55,33.37,6.09,2.0300000000000002e-05
371806196.0,1.0,1.93,0.9299999999999999,6442.92,3.909,-0.136,1.03,7.85,12.84,-6.91,-2.3e-05
98916061.0,1.9,2.8,0.8999999999999999,5045.17,2.385,-0.16899999999999998,38.42,177.84,480.09,14.98,5e-05
177813013.0,0.0,0.9,0.9,6226.51,4.632,-0.183,3.42,12.6,22.88,10.79,3.6e-05
486309105.0,3.4,2.51,-0.8900000000000001,4390.35,1.972,-0.414,8.63,79.91,293.19,-4.32,-1.4400000000000001e-05
52301010.0,1.2,2.09,0.8899999999999999,5838.25,3.517,0.03,0.93,7.61,16.42,-7.52,-2.51e-05
571111048.0,2.2,1.31,-0.8900000000000001,5488.08,3.4019999999999997,-0.871,1.51,15.27,35.61,5.84,1.95e-05
158806075.0,3.4,2.51,-0.8900000000000001,4381.62,2.639,0.12,3.8,31.6,73.17,-7.36,-2.46e-05
33805226.0,1.0,1.88,0.8799999999999999,7030.36,4.1160000000000005,-0.469,0.0,6.48,8.07,9.91,3.3100000000000005e-05
315904057.0,1.2,2.08,0.8800000000000001,6233.99,4.613,0.10400000000000001,2.02,16.0,40.07,6.38,2.13e-05
189508092.0,1.9,2.77,0.8700000000000001,5021.77,2.5610000000000004,-0.457,1.47,18.65,32.47,-10.7,-3.570000000000001e-05
67804195.0,0.5,1.36,0.8600000000000001,8342.52,4.019,-0.364,10.06,53.71,80.9,-9.23,-3.0799999999999996e-05
22414207.0,1.2,2.05,0.8499999999999999,5885.83,4.279,-0.519,1.41,9.86,10.91,-11.82,-3.9399999999999995e-05
557816208.0,1.9,2.74,0.8400000000000003,5448.32,4.361000000000001,-0.256,2.14,24.02,38.91,-9.38,-3.13e-05
286701142.0,2.2,1.36,-0.8400000000000001,5777.27,4.006,-0.607,2.3,11.76,19.31,-10.24,-3.4200000000000005e-05
441605033.0,1.9,2.73,0.8300000000000001,4824.94,2.404,-0.33899999999999997,1.88,48.14,110.5,-4.72,-1.57e-05
228616200.0,2.2,1.37,-0.8300000000000001,5856.34,4.146,-0.613,0.67,6.91,12.01,10.38,3.46e-05
300114095.0,3.4,2.57,-0.8300000000000001,4144.91,1.8019999999999998,-0.316,0.22,12.53,53.74,-13.09,-4.3700000000000005e-05
361702213.0,3.4,2.58,-0.8199999999999998,4196.21,1.797,-0.423,2.56,66.95,233.15,4.25,1.42e-05
162314031.0,2.7,1.88,-0.8200000000000003,5614.1,4.629,0.102,0.17,8.54,29.17,-13.1,-4.3700000000000005e-05
184714021.0,2.2,1.38,-0.8200000000000003,6131.64,4.008,-0.261,0.68,10.72,26.62,-3.66,-1.22e-05
257503056.0,2.7,1.88,-0.8200000000000003,5557.66,4.5969999999999995,-0.154,2.27,28.36,56.58,13.51,4.51e-05
166116042.0,2.5,3.32,0.8199999999999998,4207.83,2.358,0.003,1.44,57.82,202.32,-6.92,-2.3100000000000002e-05
559711006.0,2.7,1.89,-0.8100000000000003,5007.41,2.845,-0.652,8.58,64.64,113.35,-10.77,-3.59e-05
275513017.0,2.7,1.89,-0.8100000000000003,5394.21,4.398,-0.379,1.75,21.0,36.07,-9.86,-3.289999999999999e-05
299205228.0,2.7,1.89,-0.8100000000000003,5557.49,4.654,-0.369,2.35,24.5,40.92,1.03,3.44e-06
106311239.0,0.0,0.8,0.8,7185.79,4.144,-0.461,2.15,10.37,24.15,0.89,2.97e-06
49209100.0,2.7,1.9,-0.8000000000000003,5681.8,4.598,0.038,1.56,8.83,18.11,9.25,3.09e-05
150105231.0,2.0,1.2,-0.8,5940.19,4.0169999999999995,-0.4,27.34,174.79,254.74,-14.21,-4.74e-05
43411225.0,3.3,2.5,-0.7999999999999998,5124.76,3.5810000000000004,-0.473,0.48,6.87,18.33,-12.37,-4.13e-05
256906023.0,2.7,1.9,-0.8000000000000003,5567.03,4.623,-0.27,1.35,10.77,13.47,-6.67,-2.22e-05
162011038.0,0.7,1.49,0.79,7094.98,4.101,-0.19,0.98,12.72,29.57,1.23,4.1e-06
